,State,Party,EVM Votes,Postal Votes,Total Votes,Latitude,Longitude
66,Andhra Pradesh,Revolutionary Socialist Party,6082.0,18.0,6100.0,15.9129,79.74
67,Andhra Pradesh,Samajwadi Party,5596.0,106.0,5702.0,15.9129,79.74
68,Andhra Pradesh,Social Democratic Party Of India,8916.0,90.0,9006.0,15.9129,79.74
69,Andhra Pradesh,Socialist Unity Centre Of India (COMMUNIST),3333.0,20.0,3353.0,15.9129,79.74
70,Andhra Pradesh,Telugu Desam,12569179.0,206091.0,12775270.0,15.9129,79.74
71,Andhra Pradesh,Telugu Nava Garjana Party,3736.0,5.0,3741.0,15.9129,79.74
72,Andhra Pradesh,Telugu Rajadhikara Samiti Party,5870.0,36.0,5906.0,15.9129,79.74
73,Andhra Pradesh,United Republican Party of India,1511.0,4.0,1515.0,15.9129,79.74
74,Andhra Pradesh,Viduthalai Chiruthaigal Katchi,374.0,4.0,378.0,15.9129,79.74
75,Andhra Pradesh,Yuga Thulasi Party,1758.0,3.0,1761.0,15.9129,79.74
76,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,13174874.0,141165.0,13316039.0,15.9129,79.74
77,Arunachal Pradesh,Arunachal Democratic Party,6419.0,203.0,6622.0,28.218,94.7278
78,Arunachal Pradesh,Bharatiya Janata Party,337130.0,13868.0,350998.0,28.218,94.7278
79,Arunachal Pradesh,Gana Suraksha Party,27670.0,2860.0,30530.0,28.218,94.7278
80,Arunachal Pradesh,Independent,102285.0,5782.0,108067.0,28.218,94.7278
81,Arunachal Pradesh,Indian National Congress,209533.0,10306.0,219839.0,28.218,94.7278
82,Arunachal Pradesh,None of the Above,6787.0,404.0,7191.0,28.218,94.7278
83,Assam,Aam Aadmi Party,170389.0,523.0,170912.0,31.1048,77.1734
84,Assam,All India Trinamool Congress,74160.0,481.0,74641.0,31.1048,77.1734
85,Assam,All India United Democratic Front,624305.0,1649.0,625954.0,31.1048,77.1734
86,Assam,Asom Gana Parishad,1289464.0,9243.0,1298707.0,31.1048,77.1734
87,Assam,Asom Jana Morcha,9815.0,80.0,9895.0,31.1048,77.1734
88,Assam,Assam Jatiya Parishad,412793.0,1648.0,414441.0,31.1048,77.1734
89,Assam,Autonomous State Demand Committee,9561.0,72.0,9633.0,31.1048,77.1734
90,Assam,Bahujan Maha Party,10855.0,61.0,10916.0,31.1048,77.1734
91,Assam,Bangali Nabanirman Sena,2375.0,35.0,2410.0,31.1048,77.1734
92,Assam,Bharatheeya Jawan Kisan Party,12519.0,44.0,12563.0,31.1048,77.1734
93,Assam,Bharatiya Gana Parishad,27355.0,199.0,27554.0,31.1048,77.1734
94,Assam,Bharatiya Janata Party,7467558.0,41546.0,7509104.0,31.1048,77.1734
95,Assam,Bodoland Peoples Front,771098.0,6472.0,777570.0,31.1048,77.1734
96,Assam,Communist Party of India,19562.0,69.0,19631.0,31.1048,77.1734
97,Assam,Communist Party of India (Marxist),95020.0,1118.0,96138.0,31.1048,77.1734
98,Assam,Ekam Sanatan Bharat Dal,16506.0,107.0,16613.0,31.1048,77.1734
99,Assam,Gana Suraksha Party,122354.0,1049.0,123403.0,31.1048,77.1734
100,Assam,Hindu Samaj Party,6137.0,150.0,6287.0,31.1048,77.1734
101,Assam,Independent,487613.0,2772.0,490385.0,31.1048,77.1734
102,Assam,Indian National Congress,7478077.0,32286.0,7510363.0,31.1048,77.1734
103,Assam,Jai Prakash Janata Dal,4290.0,29.0,4319.0,31.1048,77.1734
104,Assam,None of the Above,238276.0,2025.0,240301.0,31.1048,77.1734
105,Assam,Rashtriya Ulama Council,12917.0,42.0,12959.0,31.1048,77.1734
106,Assam,Republican Party of India (Athawale),14254.0,63.0,14317.0,31.1048,77.1734
107,Assam,Socialist Unity Centre Of India (COMMUNIST),26004.0,266.0,26270.0,31.1048,77.1734
108,Assam,The National Road Map Party of India,6934.0,6.0,6940.0,31.1048,77.1734
109,Assam,"United Peopleís Party, Liberal",484681.0,4314.0,488995.0,31.1048,77.1734
110,Assam,Voters Party International,58387.0,262.0,58649.0,31.1048,77.1734
111,Bihar,Aadarsh Mithila Party,29495.0,55.0,29550.0,25.0961,85.3131
112,Bihar,Aam Janta Party Rashtriya,9680.0,80.0,9760.0,25.0961,85.3131
113,Bihar,Aazad Samaj Party (Kanshi Ram),13419.0,13.0,13432.0,25.0961,85.3131
114,Bihar,Adarsh Jankalyan Dal,1816.0,1.0,1817.0,25.0961,85.3131
115,Bihar,Akhand Bharat Janpriya Party,1715.0,1.0,1716.0,25.0961,85.3131
116,Bihar,Akhil Bhartiya Parivar Party,18814.0,44.0,18858.0,25.0961,85.3131
117,Bihar,Akhil Hind Forward Bloc (Krantikari),9895.0,7.0,9902.0,25.0961,85.3131
118,Bihar,Al-Hind Party,18571.0,5.0,18576.0,25.0961,85.3131
119,Bihar,All India Forward Bloc,8147.0,9.0,8156.0,25.0961,85.3131
120,Bihar,All India Majlis-E-Ittehadul Muslimeen,382214.0,446.0,382660.0,25.0961,85.3131
121,Bihar,Apna Kisan Party,10532.0,6.0,10538.0,25.0961,85.3131
122,Bihar,Bahujan Mukti Party,13087.0,55.0,13142.0,25.0961,85.3131
123,Bihar,Bahujan Samaj Party,757711.0,3846.0,761557.0,25.0961,85.3131
124,Bihar,Bajjikanchal Vikas Party,7741.0,6.0,7747.0,25.0961,85.3131
125,Bihar,Bhagidari Party(P),9369.0,3.0,9372.0,25.0961,85.3131
126,Bihar,Bharat Jago Janta Party,6303.0,37.0,6340.0,25.0961,85.3131
127,Bihar,Bharat Jan Jagran Dal,7727.0,9.0,7736.0,25.0961,85.3131
128,Bihar,Bharat Nirman Party,3770.0,2.0,3772.0,25.0961,85.3131
129,Bihar,Bharatiya Aam Awam Party,5527.0,58.0,5585.0,25.0961,85.3131
130,Bihar,Bharatiya Ekta Dal,1699.0,5.0,1704.0,25.0961,85.3131
131,Bihar,Bharatiya Jan Kranti Dal (Democratic),11903.0,11.0,11914.0,25.0961,85.3131
132,Bihar,Bharatiya Janata Party,8885818.0,28448.0,8914266.0,25.0961,85.3131
133,Bihar,Bharatiya Momin Front,10959.0,13.0,10972.0,25.0961,85.3131
134,Bihar,Bhartiya Dalit Party,11080.0,59.0,11139.0,25.0961,85.3131
135,Bihar,Bhartiya Gandhiwadi Party,4817.0,5.0,4822.0,25.0961,85.3131
136,Bihar,Bhartiya Kranti Vir Party,8709.0,40.0,8749.0,25.0961,85.3131
137,Bihar,Bhartiya Lok Chetna Party,5835.0,17.0,5852.0,25.0961,85.3131
138,Bihar,Bhartiya Lok Nayak Party,8851.0,28.0,8879.0,25.0961,85.3131
139,Bihar,Bhartiya Manavta Party,1235.0,2.0,1237.0,25.0961,85.3131
140,Bihar,Bhartiya Rashtriya Dal,6673.0,39.0,6712.0,25.0961,85.3131
141,Bihar,Bhartiya Sarthak Party,23570.0,70.0,23640.0,25.0961,85.3131
142,Bihar,Communist Party of India,564310.0,3541.0,567851.0,25.0961,85.3131
143,Bihar,Communist Party of India (Marxist),375988.0,1538.0,377526.0,25.0961,85.3131
144,Bihar,Communist Party of India (Marxist-Leninist) (Liberation),1293538.0,6733.0,1300271.0,25.0961,85.3131
145,Bihar,Country Citizen Party,2095.0,2.0,2097.0,25.0961,85.3131
146,Bihar,Desh Janhit Party,5601.0,10.0,5611.0,25.0961,85.3131
147,Bihar,Ekam Sanatan Bharat Dal,1115.0,1.0,1116.0,25.0961,85.3131
148,Bihar,Gana Suraksha Party,21721.0,17.0,21738.0,25.0961,85.3131
149,Bihar,Hamara Sahara Party,1607.0,7.0,1614.0,25.0961,85.3131
150,Bihar,Hindustan Janta Party Secular,1360.0,6.0,1366.0,25.0961,85.3131
151,Bihar,Hindustan People's Party (Democratic),10933.0,59.0,10992.0,25.0961,85.3131
152,Bihar,Hindustan Vikas Dal,15139.0,1.0,15140.0,25.0961,85.3131
153,Bihar,Hindustani Awam Morcha (Secular),492732.0,2228.0,494960.0,25.0961,85.3131
154,Bihar,Independent,2815689.0,5897.0,2821586.0,25.0961,85.3131
155,Bihar,Indian National Congress,3983882.0,12743.0,3996625.0,25.0961,85.3131
156,Bihar,Indian National League,2445.0,8.0,2453.0,25.0961,85.3131
157,Bihar,Jagrook Janta Party,19809.0,117.0,19926.0,25.0961,85.3131
158,Bihar,Jai Hind Party,12971.0,43.0,13014.0,25.0961,85.3131
159,Bihar,Jan Janwadi Party,13231.0,17.0,13248.0,25.0961,85.3131
160,Bihar,Janata Dal (United),8020732.0,18931.0,8039663.0,25.0961,85.3131
161,Bihar,Janhit Kisan Party,5025.0,5.0,5030.0,25.0961,85.3131
162,Bihar,Janshakti Janta Dal,1308.0,10.0,1318.0,25.0961,85.3131
163,Bihar,Janta Raj Vikas Party,937.0,2.0,939.0,25.0961,85.3131
164,Bihar,Jantantra Awaj Party,14176.0,42.0,14218.0,25.0961,85.3131
165,Bihar,Karpoori Janta Dal,16453.0,59.0,16512.0,25.0961,85.3131
166,Bihar,Lok Janshakti Party(Ram Vilas),2803936.0,6314.0,2810250.0,25.0961,85.3131
167,Bihar,Lok Sewa Dal,3509.0,10.0,3519.0,25.0961,85.3131
168,Bihar,Loktantrik Lok Rajyam Party,1780.0,3.0,1783.0,25.0961,85.3131
169,Bihar,Loktantrik Samajik Nyay Party,6532.0,10.0,6542.0,25.0961,85.3131
170,Bihar,Loktantrik Samajwadi Party,7539.0,15.0,7554.0,25.0961,85.3131
171,Bihar,Mithilanchal Mukti Morcha,18018.0,7.0,18025.0,25.0961,85.3131
172,Bihar,Moolniwasi Samaj Party,2724.0,5.0,2729.0,25.0961,85.3131
173,Bihar,Naki Bharatiya Ekta Party,3840.0,5.0,3845.0,25.0961,85.3131
174,Bihar,None of the Above,897323.0,2293.0,899616.0,25.0961,85.3131
175,Bihar,Peoples Party of India (Democratic),77620.0,190.0,77810.0,25.0961,85.3131
176,Bihar,Prabal Bharat Party,2097.0,2.0,2099.0,25.0961,85.3131
177,Bihar,Prabuddha Republican Party,6963.0,45.0,7008.0,25.0961,85.3131
178,Bihar,Pragatisheel Magahi Samaj,2456.0,12.0,2468.0,25.0961,85.3131
179,Bihar,"Proutist Bloc, India",9439.0,12.0,9451.0,25.0961,85.3131
180,Bihar,Rashtra Sewa Dal,5891.0,28.0,5919.0,25.0961,85.3131
181,Bihar,Rashtrawadi Chetna Party,3914.0,1.0,3915.0,25.0961,85.3131
182,Bihar,Rashtrawadi Janlok Party (Satya),2055.0,42.0,2097.0,25.0961,85.3131
183,Bihar,Rashtriya Garib Dal,2895.0,14.0,2909.0,25.0961,85.3131
184,Bihar,Rashtriya Jan Jan Party,12954.0,259.0,13213.0,25.0961,85.3131
185,Bihar,Rashtriya Jan Kalyan Party Secular,19487.0,8.0,19495.0,25.0961,85.3131
186,Bihar,Rashtriya Janata Dal,9588365.0,37482.0,9625847.0,25.0961,85.3131
187,Bihar,Rashtriya Jansambhavna Party,139366.0,250.0,139616.0,25.0961,85.3131
188,Bihar,Rashtriya Lok Morcha,253088.0,788.0,253876.0,25.0961,85.3131
189,Bihar,Rashtriya Samaj Paksha,10029.0,11.0,10040.0,25.0961,85.3131
190,Bihar,Rashtriya Sanatan Party,9593.0,9.0,9602.0,25.0961,85.3131
191,Bihar,Samaj Shakti Party,29205.0,30.0,29235.0,25.0961,85.3131
192,Bihar,Samajhdar Party,11127.0,22.0,11149.0,25.0961,85.3131
193,Bihar,Samajwadi Lok Parishad,1867.0,13.0,1880.0,25.0961,85.3131
194,Bihar,Samata Party,25327.0,73.0,25400.0,25.0961,85.3131
195,Bihar,Sankhyanupati Bhagidari Party,1937.0,12.0,1949.0,25.0961,85.3131
196,Bihar,Sanyukt Kisan Vikas Party,25286.0,5.0,25291.0,25.0961,85.3131
197,Bihar,Sathi Aur Aapka Faisala Party,2665.0,1.0,2666.0,25.0961,85.3131
198,Bihar,Shoshit Samaj Dal,4611.0,7.0,4618.0,25.0961,85.3131
199,Bihar,Socialist Unity Centre Of India (COMMUNIST),62352.0,154.0,62506.0,25.0961,85.3131
200,Bihar,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),1749.0,7.0,1756.0,25.0961,85.3131
201,Bihar,The Agrani Party,1840.0,3.0,1843.0,25.0961,85.3131
202,Bihar,The National Road Map Party of India,7745.0,23.0,7768.0,25.0961,85.3131
203,Bihar,Vikassheel Insaan Party,1182172.0,5283.0,1187455.0,25.0961,85.3131
204,Bihar,Viro Ke Vir Indian Party,41576.0,41.0,41617.0,25.0961,85.3131
205,Bihar,Voters Party International,2435.0,5.0,2440.0,25.0961,85.3131
206,Bihar,Wazib Adhikar Party,16482.0,24.0,16506.0,25.0961,85.3131
207,Bihar,Yuva Bihar Sena,1983.0,7.0,1990.0,25.0961,85.3131
208,Bihar,Yuva Krantikari Party,8720.0,16.0,8736.0,25.0961,85.3131
209,Chandigarh,Akhil Bhartiya Parivar Party,1066.0,2.0,1068.0,30.7333,76.7794
210,Chandigarh,Bahujan Samaj Party,6697.0,11.0,6708.0,30.7333,76.7794
211,Chandigarh,Bharatiya Janata Party,213770.0,383.0,214153.0,30.7333,76.7794
212,Chandigarh,Haryana Jansena Party,576.0,1.0,577.0,30.7333,76.7794
213,Chandigarh,Independent,6769.0,9.0,6778.0,30.7333,76.7794
214,Chandigarh,Indian National Congress,216350.0,307.0,216657.0,30.7333,76.7794
215,Chandigarh,None of the Above,2900.0,12.0,2912.0,30.7333,76.7794
216,Chandigarh,Sainik Samaj Party,215.0,2.0,217.0,30.7333,76.7794
217,Chandigarh,Super Power India Party,205.0,0.0,205.0,30.7333,76.7794
218,Chhattisgarh,Aap Sabki Apni Party,525.0,3.0,528.0,21.2787,81.8661
219,Chhattisgarh,Aazad Samaj Party (Kanshi Ram),3704.0,13.0,3717.0,21.2787,81.8661
220,Chhattisgarh,Akhil Bhartiya Parivar Party,4008.0,8.0,4016.0,21.2787,81.8661
221,Chhattisgarh,Ambedkarite Party of India,15490.0,19.0,15509.0,21.2787,81.8661
222,Chhattisgarh,Asankhya Samaj Party,1417.0,5.0,1422.0,21.2787,81.8661
223,Chhattisgarh,Azad Janata Party,4402.0,27.0,4429.0,21.2787,81.8661
224,Chhattisgarh,Bahujan Samaj Party,174910.0,928.0,175838.0,21.2787,81.8661
225,Chhattisgarh,Bharat Adivasi Party,3035.0,25.0,3060.0,21.2787,81.8661
226,Chhattisgarh,Bharatiya Bahujan Congress,818.0,3.0,821.0,21.2787,81.8661
227,Chhattisgarh,Bharatiya Janata Party,7909797.0,20299.0,7930096.0,21.2787,81.8661
228,Chhattisgarh,Bhartiya Janta Secular Party,1684.0,1.0,1685.0,21.2787,81.8661
229,Chhattisgarh,Bhartiya Shakti Chetna Party,23398.0,74.0,23472.0,21.2787,81.8661
230,Chhattisgarh,Bhrashtachar Mukti Morcha,765.0,1.0,766.0,21.2787,81.8661
231,Chhattisgarh,Chhattisgarh Vikas Ganga Rashtriya Party,2769.0,14.0,2783.0,21.2787,81.8661
232,Chhattisgarh,Communist Party of India,35850.0,37.0,35887.0,21.2787,81.8661
233,Chhattisgarh,Dhoom Sena,434.0,0.0,434.0,21.2787,81.8661
234,Chhattisgarh,Ekam Sanatan Bharat Dal,5935.0,5.0,5940.0,21.2787,81.8661
235,Chhattisgarh,Gondvana Gantantra Party,84824.0,270.0,85094.0,21.2787,81.8661
236,Chhattisgarh,Hamar Raj Party,40592.0,154.0,40746.0,21.2787,81.8661
237,Chhattisgarh,Independent,321922.0,264.0,322186.0,21.2787,81.8661
238,Chhattisgarh,Indian National Congress,6168408.0,14693.0,6183101.0,21.2787,81.8661
239,Chhattisgarh,Lokshahi Ekta Party,798.0,0.0,798.0,21.2787,81.8661
240,Chhattisgarh,Loktantra Congress Party,5094.0,6.0,5100.0,21.2787,81.8661
241,Chhattisgarh,None of the Above,135430.0,681.0,136111.0,21.2787,81.8661
242,Chhattisgarh,Nyaydharmsabha,2796.0,3.0,2799.0,21.2787,81.8661
243,Chhattisgarh,Prabuddha Republican Party,710.0,2.0,712.0,21.2787,81.8661
244,Chhattisgarh,Rashtriya Gondvana Party,1792.0,16.0,1808.0,21.2787,81.8661
245,Chhattisgarh,Rashtriya Jansabha Party,19259.0,59.0,19318.0,21.2787,81.8661
246,Chhattisgarh,Republican Party of India (A),2155.0,9.0,2164.0,21.2787,81.8661
247,Chhattisgarh,Right to Recall Party,4290.0,5.0,4295.0,21.2787,81.8661
248,Chhattisgarh,Sarv Adi Dal,20287.0,61.0,20348.0,21.2787,81.8661
249,Chhattisgarh,Shakti Sena (Bharat Desh),21022.0,14.0,21036.0,21.2787,81.8661
250,Chhattisgarh,Socialist Unity Centre Of India (COMMUNIST),1920.0,0.0,1920.0,21.2787,81.8661
251,Chhattisgarh,Sunder Samaj Party,3399.0,10.0,3409.0,21.2787,81.8661
252,Dadra & Nagar Haveli and Daman & Diu,Bahujan Samaj Party,3147.0,5.0,3152.0,20.1809,73.0169
253,Dadra & Nagar Haveli and Daman & Diu,Bharat Adivasi Party,10188.0,9.0,10197.0,20.1809,73.0169
254,Dadra & Nagar Haveli and Daman & Diu,Bharatiya Janata Party,157076.0,296.0,157372.0,20.1809,73.0169
255,Dadra & Nagar Haveli and Daman & Diu,Independent,45799.0,56.0,45855.0,20.1809,73.0169
256,Dadra & Nagar Haveli and Daman & Diu,Indian National Congress,74660.0,88.0,74748.0,20.1809,73.0169
257,Dadra & Nagar Haveli and Daman & Diu,Navsarjan Bharat Party,545.0,0.0,545.0,20.1809,73.0169
258,Dadra & Nagar Haveli and Daman & Diu,None of the Above,6121.0,8.0,6129.0,20.1809,73.0169
259,Goa,Akhil Bhartiya Parivar Party,1404.0,13.0,1417.0,15.2993,74.124
260,Goa,Bahujan Samaj Party,3145.0,61.0,3206.0,15.2993,74.124
261,Goa,Bharatiya Janata Party,455618.0,6009.0,461627.0,15.2993,74.124
262,Goa,Corruption Abolition Party,487.0,14.0,501.0,15.2993,74.124
263,Goa,Independent,4832.0,65.0,4897.0,15.2993,74.124
264,Goa,Indian National Congress,356213.0,2934.0,359147.0,15.2993,74.124
265,Goa,None of the Above,11101.0,64.0,11165.0,15.2993,74.124
266,Goa,Revolutionary Goans Party,64178.0,400.0,64578.0,15.2993,74.124
267,Gujarat,Aadi Bharat Party,722.0,20.0,742.0,22.2587,71.1924
268,Gujarat,Aam Aadmi Party,775321.0,8734.0,784055.0,22.2587,71.1924
269,Gujarat,"Aam Janmat Party,",3108.0,97.0,3205.0,22.2587,71.1924
270,Gujarat,Aapki Awaaz Party,6039.0,48.0,6087.0,22.2587,71.1924
271,Gujarat,Akhila Vijaya Party,3866.0,16.0,3882.0,22.2587,71.1924
272,Gujarat,Bahujan Republican Socialist Party,2813.0,19.0,2832.0,22.2587,71.1924
273,Gujarat,Bahujan Samaj Party,218833.0,2566.0,221399.0,22.2587,71.1924
274,Gujarat,Bharat Adivasi Party,14596.0,44.0,14640.0,22.2587,71.1924
275,Gujarat,Bharatiya Bahujan Congress,8292.0,52.0,8344.0,22.2587,71.1924
276,Gujarat,Bharatiya Janata Party,17839911.0,150039.0,17989950.0,22.2587,71.1924
277,Gujarat,Bharatiya National Janata Dal,3053.0,9.0,3062.0,22.2587,71.1924
278,Gujarat,Bharatiya Yuva Jan Ekta Party,3503.0,10.0,3513.0,22.2587,71.1924
279,Gujarat,Bhartiya Jan Nayak Party,1812.0,26.0,1838.0,22.2587,71.1924
280,Gujarat,Bhartiya Jan Parishad,3898.0,122.0,4020.0,22.2587,71.1924
281,Gujarat,Democratic Bharatiya Samaj Party,2345.0,44.0,2389.0,22.2587,71.1924
282,Gujarat,Dhanwan Bharat Party,8350.0,39.0,8389.0,22.2587,71.1924
283,Gujarat,Garib Kalyan Party,3938.0,41.0,3979.0,22.2587,71.1924
284,Gujarat,Global Republican Party,4958.0,51.0,5009.0,22.2587,71.1924
285,Gujarat,Gujarat Loktantra Party,2443.0,15.0,2458.0,22.2587,71.1924
286,Gujarat,Gujarat Sarva Samaj Party,4150.0,61.0,4211.0,22.2587,71.1924
287,Gujarat,Gunj Satya Ni Janata Party,7686.0,75.0,7761.0,22.2587,71.1924
288,Gujarat,Hindrashtra Sangh,3436.0,17.0,3453.0,22.2587,71.1924
289,Gujarat,Hindvi Swarajyay Dal,1560.0,13.0,1573.0,22.2587,71.1924
290,Gujarat,Independent,349608.0,2306.0,351914.0,22.2587,71.1924
291,Gujarat,Indian National Congress,9008278.0,99810.0,9108088.0,22.2587,71.1924
292,Gujarat,Insaniyat Party,3351.0,94.0,3445.0,22.2587,71.1924
293,Gujarat,Jan Sewa Driver Party,1214.0,7.0,1221.0,22.2587,71.1924
294,Gujarat,Log Party,9879.0,57.0,9936.0,22.2587,71.1924
295,Gujarat,Malwa Congress,13841.0,84.0,13925.0,22.2587,71.1924
296,Gujarat,Mission All India Independent Justice Party,948.0,12.0,960.0,22.2587,71.1924
297,Gujarat,New India United Party,8467.0,75.0,8542.0,22.2587,71.1924
298,Gujarat,None of the Above,449252.0,11089.0,460341.0,22.2587,71.1924
299,Gujarat,Prajatantra Aadhar Party,2404.0,25.0,2429.0,22.2587,71.1924
300,Gujarat,Rashtra Nirman Party,7052.0,84.0,7136.0,22.2587,71.1924
301,Gujarat,Rashtriya Mahaswaraj Bhumi Party,3759.0,34.0,3793.0,22.2587,71.1924
302,Gujarat,Rashtriya Power Party,2087.0,14.0,2101.0,22.2587,71.1924
