S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,State,Constituency,Victory Margin,PC Name,EVM Votes Counted,Postal Votes Counted,EVM Votes Polled,Difference,Margin,Difference > Margin,Postalvotes > Margin
4.0,BHUPENDRA PAL URF BHUPPI BHAI,Rashtriya Shoshit Samaj Party,2615.0,11.0,2626.0,0.22,Uttar Pradesh,Meerut - 10,,,,,,,,,
5.0,HAJI AFZAL,Sabse Achchhi Party,2026.0,3.0,2029.0,0.17,Uttar Pradesh,Meerut - 10,,,,,,,,,
6.0,ABID HUSAIN,Social Democratic Party Of India,1917.0,5.0,1922.0,0.16,Uttar Pradesh,Meerut - 10,,,,,,,,,
7.0,LIYAKAT,Majloom Samaj Party,891.0,3.0,894.0,0.08,Uttar Pradesh,Meerut - 10,,,,,,,,,
8.0,DR HIMANSHU BHATNAGAR,Jai Hind National Party,848.0,6.0,854.0,0.07,Uttar Pradesh,Meerut - 10,,,,,,,,,
9.0,NOTA,None of the Above,4738.0,38.0,4776.0,0.4,Uttar Pradesh,Meerut - 10,,,,,,,,,
1.0,ANUPRIYA PATEL,Apna Dal (Soneylal),470866.0,765.0,471631.0,42.67,Uttar Pradesh,Mirzapur - 79,37810.0,,,,,,,,
2.0,RAMESH CHAND BIND,Samajwadi Party,433286.0,535.0,433821.0,39.25,Uttar Pradesh,Mirzapur - 79,,,,,,,,,
3.0,MANISH KUMAR,Bahujan Samaj Party,144279.0,167.0,144446.0,13.07,Uttar Pradesh,Mirzapur - 79,,,,,,,,,
4.0,RAJESH,Independent,10927.0,9.0,10936.0,0.99,Uttar Pradesh,Mirzapur - 79,,,,,,,,,
5.0,LAL JI VERMA,Independent,6355.0,4.0,6359.0,0.58,Uttar Pradesh,Mirzapur - 79,,,,,,,,,
6.0,ANIL KUMAR,Eklavya Samaj Party,6166.0,5.0,6171.0,0.56,Uttar Pradesh,Mirzapur - 79,,,,,,,,,
7.0,DAULAT SINGH,Apna Dal (Kamerawadi),5227.0,8.0,5235.0,0.47,Uttar Pradesh,Mirzapur - 79,,,,,,,,,
8.0,RAMDHANI,Rashtriya Samaj Paksha,4914.0,1.0,4915.0,0.44,Uttar Pradesh,Mirzapur - 79,,,,,,,,,
9.0,SAMEER SINGH,All India Forward Bloc,3486.0,1.0,3487.0,0.32,Uttar Pradesh,Mirzapur - 79,,,,,,,,,
10.0,SATYADEV,Purvanchal Mahapanchayat,3351.0,4.0,3355.0,0.3,Uttar Pradesh,Mirzapur - 79,,,,,,,,,
11.0,NOTA,None of the Above,15043.0,6.0,15049.0,1.36,Uttar Pradesh,Mirzapur - 79,,,,,,,,,
1.0,ASHOK KUMAR RAWAT,Bharatiya Janata Party,473971.0,1045.0,475016.0,45.15,Uttar Pradesh,Misrikh - 32,33406.0,,,,,,,,
2.0,SANGITA RAJVANSHI,Samajwadi Party,440157.0,1453.0,441610.0,41.98,Uttar Pradesh,Misrikh - 32,,,,,,,,,
3.0,B R AHIRWAR,Bahujan Samaj Party,111670.0,275.0,111945.0,10.64,Uttar Pradesh,Misrikh - 32,,,,,,,,,
4.0,RAMPAL,Independent,3973.0,5.0,3978.0,0.38,Uttar Pradesh,Misrikh - 32,,,,,,,,,
5.0,LALIT KUMAR,Bhartiya Shakti Chetna Party,3811.0,4.0,3815.0,0.36,Uttar Pradesh,Misrikh - 32,,,,,,,,,
6.0,Neelam Singh,Independent,2899.0,6.0,2905.0,0.28,Uttar Pradesh,Misrikh - 32,,,,,,,,,
7.0,VANDNA VERMA,Naari Nar Rakshak Party,1907.0,5.0,1912.0,0.18,Uttar Pradesh,Misrikh - 32,,,,,,,,,
8.0,AVDHESH,Independent,1419.0,4.0,1423.0,0.14,Uttar Pradesh,Misrikh - 32,,,,,,,,,
9.0,SAVITRI DEVI,Rashtriya Janshakti Samaj Party,1347.0,3.0,1350.0,0.13,Uttar Pradesh,Misrikh - 32,,,,,,,,,
10.0,NOTA,None of the Above,7997.0,32.0,8029.0,0.76,Uttar Pradesh,Misrikh - 32,,,,,,,,,
1.0,R.K. CHAUDHARY,Samajwadi Party,666560.0,1309.0,667869.0,48.49,Uttar Pradesh,Mohanlalganj - 34,70292.0,,,,,,,,
2.0,KAUSHAL KISHORE,Bharatiya Janata Party,596197.0,1380.0,597577.0,43.38,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
3.0,RAJESH KUMAR,Bahujan Samaj Party,88257.0,204.0,88461.0,6.42,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
4.0,MAHENDRA,Independent,2654.0,7.0,2661.0,0.19,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
5.0,SUSHIL KUMAR,Independent,2626.0,1.0,2627.0,0.19,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
6.0,RAMESH KUMAR,Independent,1839.0,2.0,1841.0,0.13,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
7.0,SUNITA CHHEDA PASI,Aam Janta Party (India),1736.0,13.0,1749.0,0.13,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
8.0,S. L.SINGH,Peoples Party of India (Democratic),1711.0,6.0,1717.0,0.12,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
9.0,BRIJESH KUMAR VIKRAM,Rashtriya Samaj Paksha,1648.0,7.0,1655.0,0.12,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
10.0,JITENDRA KUMAR,Independent,1402.0,12.0,1414.0,0.1,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
11.0,SURAJ KUMAR,Sardar Patel Siddhant Party,1010.0,5.0,1015.0,0.07,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
12.0,NOTA,None of the Above,8838.0,28.0,8866.0,0.64,Uttar Pradesh,Mohanlalganj - 34,,,,,,,,,
1.0,RUCHI VIRA,Samajwadi Party,636733.0,630.0,637363.0,49.67,Uttar Pradesh,Moradabad - 6,105762.0,,,,,,,,
2.0,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,530176.0,1425.0,531601.0,41.43,Uttar Pradesh,Moradabad - 6,,,,,,,,,
3.0,MO IRFAN,Bahujan Samaj Party,92116.0,197.0,92313.0,7.19,Uttar Pradesh,Moradabad - 6,,,,,,,,,
4.0,AJAY YADAV,Apna Haq Party,4084.0,10.0,4094.0,0.32,Uttar Pradesh,Moradabad - 6,,,,,,,,,
5.0,MUSHARRAT HUSAIN,Independent,2583.0,0.0,2583.0,0.2,Uttar Pradesh,Moradabad - 6,,,,,,,,,
6.0,SADHNA SINGH,Independent,2292.0,4.0,2296.0,0.18,Uttar Pradesh,Moradabad - 6,,,,,,,,,
7.0,MOHD JAMSHED,Independent,1717.0,2.0,1719.0,0.13,Uttar Pradesh,Moradabad - 6,,,,,,,,,
8.0,ONKAR SINGH,Bharatiya Bahujan Samta Party,1449.0,10.0,1459.0,0.11,Uttar Pradesh,Moradabad - 6,,,,,,,,,
9.0,SHAKIL AHMED,Samata Party,1356.0,0.0,1356.0,0.11,Uttar Pradesh,Moradabad - 6,,,,,,,,,
10.0,HAR KISHORE SINGH,Socialist Unity Centre Of India (COMMUNIST),940.0,0.0,940.0,0.07,Uttar Pradesh,Moradabad - 6,,,,,,,,,
11.0,AMARJEET SINGH JATAV,Independent,937.0,15.0,952.0,0.07,Uttar Pradesh,Moradabad - 6,,,,,,,,,
12.0,GANGARAM SHARMA,Rashtriya Congress(J) Party,629.0,56.0,685.0,0.05,Uttar Pradesh,Moradabad - 6,,,,,,,,,
13.0,NOTA,None of the Above,5807.0,17.0,5824.0,0.45,Uttar Pradesh,Moradabad - 6,,,,,,,,,
1.0,HARENDRA SINGH MALIK,Samajwadi Party,469804.0,917.0,470721.0,43.64,Uttar Pradesh,Muzaffarnagar - 3,24672.0,,,,,,,,
2.0,SANJEEV KUMAR BALYAN,Bharatiya Janata Party,443815.0,2234.0,446049.0,41.35,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
3.0,DARA SINGH PRAJAPATI,Bahujan Samaj Party,143323.0,384.0,143707.0,13.32,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
4.0,SUNIL TYAGI,Independent,7131.0,36.0,7167.0,0.66,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
5.0,KAVITA,Rashtrawadi Janlok Party (Satya),1970.0,30.0,2000.0,0.19,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
6.0,SHASHIKANT SHAMAR,Independent,1429.0,2.0,1431.0,0.13,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
7.0,BIRBAL SINGH,Vishal Janta Party,1419.0,2.0,1421.0,0.13,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
8.0,NEEL KUMAR,Jai Samta Party,858.0,3.0,861.0,0.08,Uttar Pradesh,Muzaffarnagar - 3,,,,,,,,,
