,State,Party,EVM Votes,Postal Votes,Total Votes,Latitude,Longitude
52,Andhra Pradesh,Navataram Party,288856287710392,7611681,296456297878393,15.9129,79.74
53,Andhra Pradesh,Navodayam Party,409,5,414,15.9129,79.74
54,Andhra Pradesh,Neethi Nijayithi Party,428,2,430,15.9129,79.74
55,Andhra Pradesh,None of the Above,134182608490145020513599118122237172101782616660171051039412008105387554111201545413066243021132424498159099038517123097,1001511852651241641441771451861151171181591237912313913376107209155142153,135182623591995047013723119762251573871797116846172201051112126106977677111991557713205244351140024605161189193531323250,15.9129,79.74
56,Andhra Pradesh,Peoples Party of India (Democratic),502,3,505,15.9129,79.74
57,Andhra Pradesh,Praja Prasthanam Party,628,5,633,15.9129,79.74
58,Andhra Pradesh,Praja Shanthi Party,7529,167,7696,15.9129,79.74
59,Andhra Pradesh,Pyramid Party of India,71815782927893710102992266713156745891501486875715,113845283159593710,71915912935897715103193067013306835941510489882725,15.9129,79.74
60,Andhra Pradesh,Radical Party of India (Ambedkarist),452,2,454,15.9129,79.74
61,Andhra Pradesh,Rashtriya Praja Congress (Secular),350024222534,7073,357024292537,15.9129,79.74
62,Andhra Pradesh,Rayalaseema Rashtra Samithi,2329,4,2333,15.9129,79.74
63,Andhra Pradesh,Republican Party of India,717,9,726,15.9129,79.74
64,Andhra Pradesh,Republican Party of India (A),5793924164512283657944,234596,5813927164912333666950,15.9129,79.74
65,Andhra Pradesh,Republican Party of India (Athawale),365,3,368,15.9129,79.74
66,Andhra Pradesh,Revolutionary Socialist Party,204512432794,6210,205112452804,15.9129,79.74
67,Andhra Pradesh,Samajwadi Party,74967059469913624631059,46114427311,75367660574313894661070,15.9129,79.74
68,Andhra Pradesh,Social Democratic Party Of India,20586858,1674,20746932,15.9129,79.74
69,Andhra Pradesh,Socialist Unity Centre Of India (COMMUNIST),56612821162323,41024,57012921164327,15.9129,79.74
70,Andhra Pradesh,Telugu Desam,786149755862706757765536737644851020713013532358650335689417798097750771689829734501784722893884729284,108321238310736125358707139281252110090857911714989915431120651982794321358313829,796981768245717493778071746351864948725534542448658914701131807996766202701894754328794154907467743113,15.9129,79.74
71,Andhra Pradesh,Telugu Nava Garjana Party,3736,5,3741,15.9129,79.74
72,Andhra Pradesh,Telugu Rajadhikara Samiti Party,4933328609,2646,4959332615,15.9129,79.74
73,Andhra Pradesh,United Republican Party of India,1511,4,1515,15.9129,79.74
74,Andhra Pradesh,Viduthalai Chiruthaigal Katchi,374,4,378,15.9129,79.74
75,Andhra Pradesh,Yuga Thulasi Party,1758,3,1761,15.9129,79.74
